date,value
2022-01-03,12450
2022-01-10,13200
2022-01-17,11800
2022-01-24,12900
2022-01-31,13500
2022-02-07,14200
2022-02-14,15800
2022-02-21,14900
2022-02-28,13700
2022-03-07,15200
2022-03-14,16800
2022-03-21,15400
2022-03-28,17200
2022-04-04,18500
2022-04-11,17800
2022-04-18,19200
2022-04-25,18100
2022-05-02,20500
2022-05-09,21800
2022-05-16,20200
2022-05-23,22400
2022-05-30,23100
2022-06-06,24500
2022-06-13,25800
2022-06-20,24200
2022-06-27,26500
2022-07-04,22100
2022-07-11,21500
2022-07-18,23200
2022-07-25,24800
2022-08-01,26200
2022-08-08,27500
2022-08-15,26800
2022-08-22,28400
2022-08-29,29100
2022-09-05,30500
2022-09-12,31200
2022-09-19,29800
2022-09-26,32400
2022-10-03,33800
2022-10-10,35200
2022-10-17,34100
2022-10-24,36500
2022-10-31,38200
2022-11-07,39800
2022-11-14,41500
2022-11-21,43200
2022-11-28,52800
2022-12-05,54200
2022-12-12,56800
2022-12-19,61200
2022-12-26,58400
2023-01-02,32100
2023-01-09,31500
2023-01-16,33200
2023-01-23,34800
2023-01-30,35500
2023-02-06,36200
2023-02-13,38500
2023-02-20,37100
2023-02-27,39800
2023-03-06,41200
2023-03-13,42800
2023-03-20,41500
2023-03-27,44200
2023-04-03,45800
2023-04-10,47200
2023-04-17,46100
2023-04-24,48500
2023-05-01,50200
2023-05-08,52800
2023-05-15,51200
2023-05-22,54500
2023-05-29,56100
2023-06-05,58400
2023-06-12,61200
2023-06-19,59800
2023-06-26,63500
2023-07-03,55200
2023-07-10,54100
2023-07-17,57800
2023-07-24,59200
2023-07-31,62500
2023-08-07,64800
2023-08-14,63200
2023-08-21,67500
2023-08-28,69800
2023-09-04,72200
2023-09-11,74500
2023-09-18,71800
2023-09-25,76200
2023-10-02,79500
2023-10-09,82100
2023-10-16,80400
2023-10-23,84800
2023-10-30,88200
2023-11-06,91500
2023-11-13,95200
2023-11-20,98800
2023-11-27,118500
2023-12-04,122800
2023-12-11,128400
2023-12-18,135200
2023-12-25,129800
2024-01-01,68200
2024-01-08,67500
2024-01-15,71200
2024-01-22,73800
2024-01-29,75500
2024-02-05,77200
2024-02-12,80500
2024-02-19,78900
2024-02-26,82400
2024-03-04,85800
2024-03-11,88200
2024-03-18,86500
2024-03-25,91200
2024-04-01,94500
2024-04-08,97800
2024-04-15,95200
2024-04-22,100500
2024-04-29,104200
2024-05-06,108500
2024-05-13,105800
2024-05-20,111200
2024-05-27,115500
2024-06-03,120200
2024-06-10,125800
2024-06-17,122500
2024-06-24,129200
2024-07-01,112500
2024-07-08,110800
2024-07-15,116200
2024-07-22,120500
2024-07-29,125800
2024-08-05,130200
2024-08-12,127500
2024-08-19,134800
2024-08-26,139200
2024-09-02,144500
2024-09-09,149800
2024-09-16,145200
2024-09-23,152500
2024-09-30,158800
2024-10-07,164200
2024-10-14,160500
2024-10-21,168800
2024-10-28,175200
2024-11-04,182500
2024-11-11,189800
2024-11-18,197200
2024-11-25,238500
2024-12-02,248200
2024-12-09,261500
2024-12-16,278800
2024-12-23,265200
2024-12-30,142800
2025-01-06,140500
2025-01-13,148200
2025-01-20,154500
2025-01-27,159800
2025-02-03,165200
2025-02-10,172500
2025-02-17,168800
2025-02-24,177200
2025-03-03,184500
2025-03-10,191800
2025-03-17,187200
2025-03-24,196500
2025-03-31,204800
2025-04-07,212200
